region_id,dane_code,city
5,15693,Santa Rosa de Viterbo
5,15696,Santa Sofía
5,15720,Sativanorte
5,15723,Sativasur
5,15740,Siachoque
5,15753,Soatá
5,15755,Socotá
5,15757,Socha
5,15759,Sogamoso
5,15761,Somondoco
5,15762,Sora
5,15763,Sotaquirá
5,15764,Soracá
5,15774,Susacón
5,15776,Sutamarchán
5,15778,Sutatenza
5,15790,Tasco
5,15798,Tenza
5,15804,Tibaná
5,15806,Tibasosa
5,15808,Tinjacá
5,15810,Tipacoque
5,15814,Toca
5,15816,Togüí
5,15820,Tópaga
5,15822,Tota
5,15832,Tununguá
5,15835,Turmequé
5,15837,Tuta
5,15839,Tutazá
5,15842,Umbita
5,15861,Ventaquemada
5,15879,Viracachá
5,15897,Zetaquira
6,17001,Manizales
6,17013,Aguadas
6,17042,Anserma
6,17050,Aranzazu
6,17088,Belalcázar
6,17174,Chinchiná
6,17272,Filadelfia
6,17380,La Dorada
6,17388,La Merced
6,17433,Manzanares
6,17442,Marmato
6,17444,Marquetalia
6,17446,Marulanda
6,17486,Neira
6,17495,Norcasia
6,17513,Pácora
6,17524,Palestina
6,17541,Pensilvania
6,17614,Riosucio
6,17616,20
6,17653,Salamina
6,17662,Samaná
6,17665,San José
6,17777,Supía
6,17867,Victoria
6,17873,Villamaría
6,17877,Viterbo
7,18001,Florencia
7,18029,Albania
7,18094,Belén de los Andaquies
7,18150,Cartagena del Chairá
7,18205,Curillo
7,18247,El Doncello
7,18256,El Paujil
7,18410,La Montañita
7,18460,Milán
7,18479,Morelia
7,18592,Puerto Rico
7,18610,San José del Fragua
7,18753,San Vicente del Caguán
7,18756,Solano
7,18785,Solita
7,18860,Valparaíso
8,19001,Popayán
8,19022,Almaguer
8,19050,Argelia
8,19075,Balboa
8,19100,4
8,19110,Buenos Aires
8,19130,Cajibío
8,19137,Caldono
8,19142,Caloto
8,19212,Corinto
8,19256,El Tambo
8,19290,Florencia
8,19300,Guachené
8,19318,Guapi
8,19355,Inzá
8,19364,Jambaló
8,19392,La Sierra
8,19397,La Vega
8,19418,López
8,19450,Mercaderes
8,19455,Miranda
8,19473,Morales
8,19513,Padilla
8,19517,Paez
8,19532,Patía (El Bordo)
8,19533,Piamonte
8,19548,Piendamó
8,19573,Puerto Tejada
8,19585,Puracé
8,19622,Rosas
8,19693,San Sebastián
8,19698,21 de Quilichao
8,19701,Santa Rosa
8,19743,Silvia
8,19760,Sotara
8,19780,Suárez
8,19785,22
8,19807,Timbío
8,19809,Timbiquí
8,19821,Toribio
8,19824,Totoró
8,19845,Villa Rica
9,20001,Valledupar
9,20011,Aguachica
9,20013,Agustín Codazzi
9,20032,Astrea
9,20045,Becerril
9,20060,Bosconia
9,20175,Chimichagua
9,20178,Chiriguaná
9,20228,Curumaní
9,20238,El Copey
9,20250,El Paso
9,20295,Gamarra
9,20310,González
9,20383,La Gloria
9,20400,La Jagua de Ibirico
9,20443,Manaure
9,20517,Pailitas
9,20550,Pelaya
9,20570,Pueblo Bello
9,20614,Río de Oro
9,20621,La Paz
9,20710,San Alberto
9,20750,San Diego
9,20770,San Martín
9,20787,Tamalameque
10,23001,Montería
10,23068,Ayapel
10,23079,Buenavista
10,23090,Canalete
10,23162,Cereté
10,23168,Chimá
10,23182,Chinú
10,23189,Ciénaga de Oro
10,23300,Cotorra
10,23350,La Apartada
10,23417,Lorica
10,23419,Los 10s
10,23464,Momil
10,23466,Montelíbano
10,23500,Moñitos
10,23555,Planeta Rica
10,23570,Pueblo Nuevo
10,23574,Puerto Escondido
10,23580,Puerto Libertador
10,23586,Purísima
10,23660,Sahagún
10,23670,San Andrés Sotavento
10,23672,San Antero
10,23675,San Bernardo del Viento
10,23678,San Carlos
10,23682,San Jose de Ure
10,23686,San Pelayo
10,23807,Tierralta
10,23815,Tuchín
10,23855,Valencia
11,25001,Agua de Dios
11,25019,Albán
11,25035,Anapoima
11,25040,Anolaima
11,25053,Arbeláez
11,25086,Beltrán
11,25095,Bituima
11,25099,Bojacá
11,25120,Cabrera
11,25123,Cachipay
11,25126,Cajicá
11,25148,Caparrapí
11,25151,Caqueza
11,25154,Carmen de Carupa
11,25168,Chaguaní
11,25175,Chía
11,25178,Chipaque
11,25181,Choachí
11,25183,Chocontá
11,25200,Cogua
