geolocation_id,channels,operation,id
5237,14,Nacional privado,223
5237,15,Nacional privado,224
5237,16,Nacional público,225
5237,18,Regional público,226
5237,19,Nacional privado futuro,227
5240,19,Nacional privado futuro,228
5240,16,Nacional público,229
5240,18,Regional público,230
5240,14,Nacional privado,231
5240,15,Nacional privado,232
5250,46,Nacional privado futuro,233
5250,43,Nacional privado,234
5250,44,Nacional privado,235
5250,16,Nacional público,236
5250,18,Regional público,237
5264,19,Nacional privado futuro,238
5264,16,Nacional público,239
5264,18,Regional público,240
5264,14,Nacional privado,241
5264,15,Nacional privado,242
5266,33,Local sin ánimo de lucro,243
5266,19,Nacional privado futuro,244
5266,14,Nacional privado,245
5266,15,Nacional privado,246
5266,16,Nacional público,247
5266,18,Regional público,248
5266,28,Local con ánimo de lucro,249
5282,19,Nacional privado futuro,250
5282,16,Nacional público,251
5282,18,Regional público,252
5282,14,Nacional privado,253
5282,15,Nacional privado,254
5284,19,Nacional privado futuro,255
5284,14,Nacional privado,256
5284,15,Nacional privado,257
5284,16,Nacional público,258
5284,18,Regional público,259
5306,19,Nacional privado futuro,260
5306,14,Nacional privado,261
5306,15,Nacional privado,262
5306,16,Nacional público,263
5306,18,Regional público,264
5308,33,Local sin ánimo de lucro,265
5308,19,Nacional privado futuro,266
5308,14,Nacional privado,267
5308,15,Nacional privado,268
5308,16,Nacional público,269
5308,18,Regional público,270
5308,28,Local con ánimo de lucro,271
5310,19,Nacional privado futuro,272
5310,16,Nacional público,273
5310,18,Regional público,274
5310,21,Nacional privado,275
5310,42,Nacional privado,276
5313,19,Nacional privado futuro,277
5313,16,Nacional público,278
5313,18,Regional público,279
5313,14,Nacional privado,280
5313,15,Nacional privado,281
5315,19,Nacional privado futuro,282
5315,49,Nacional privado,283
5315,45,Nacional privado,284
5315,16,Nacional público,285
5315,18,Regional público,286
5318,19,Nacional privado futuro,287
5318,14,Nacional privado,288
5318,15,Nacional privado,289
5318,16,Nacional público,290
5318,18,Regional público,291
5321,19,Nacional privado futuro,292
5321,14,Nacional privado,293
5321,15,Nacional privado,294
5321,16,Nacional público,295
5321,18,Regional público,296
5347,19,Nacional privado futuro,297
5347,16,Nacional público,298
5347,18,Regional público,299
5347,14,Nacional privado,300
5347,15,Nacional privado,301
5353,14,Nacional privado,302
5353,15,Nacional privado,303
5353,16,Nacional público,304
5353,18,Regional público,305
5353,19,Nacional privado futuro,306
5360,33,Local sin ánimo de lucro,307
5360,19,Nacional privado futuro,308
5360,14,Nacional privado,309
5360,15,Nacional privado,310
5360,16,Nacional público,311
5360,18,Regional público,312
5360,28,Local con ánimo de lucro,313
5361,19,Nacional privado futuro,314
5361,14,Nacional privado,315
5361,15,Nacional privado,316
5361,16,Nacional público,317
5361,18,Regional público,318
5364,19,Nacional privado futuro,319
5364,16,Nacional público,320
5364,18,Regional público,321
5364,14,Nacional privado,322
5364,15,Nacional privado,323
5368,19,Nacional privado futuro,324
5368,16,Nacional público,325
5368,18,Regional público,326
5368,14,Nacional privado,327
5368,15,Nacional privado,328
5376,19,Nacional privado futuro,329
5376,14,Nacional privado,330
5376,15,Nacional privado,331
5376,16,Nacional público,332
5376,18,Regional público,333
5380,33,Local sin ánimo de lucro,334
5380,19,Nacional privado futuro,335
5380,14,Nacional privado,336
5380,15,Nacional privado,337
5380,16,Nacional público,338
5380,18,Regional público,339
5380,28,Local con ánimo de lucro,340
5390,14,Nacional privado,341
5390,15,Nacional privado,342
5390,16,Nacional público,343
5390,18,Regional público,344
5390,19,Nacional privado futuro,345
5400,19,Nacional privado futuro,346
5400,14,Nacional privado,347
5400,15,Nacional privado,348
5400,16,Nacional público,349
5400,18,Regional público,350
5411,19,Nacional privado futuro,351
5411,16,Nacional público,352
5411,18,Regional público,353
5411,14,Nacional privado,354
5411,15,Nacional privado,355
5425,16,Nacional público,356
5425,18,Regional público,357
5425,21,Nacional privado,358
5425,42,Nacional privado,359
5425,19,Nacional privado futuro,360
5440,19,Nacional privado futuro,361
5440,14,Nacional privado,362
5440,15,Nacional privado,363
5440,18,Regional público,364
5440,16,Nacional público,365
5467,14,Nacional privado,366
5467,15,Nacional privado,367
5467,16,Nacional público,368
5467,18,Regional público,369
5467,19,Nacional privado futuro,370
5475,21,Nacional privado,371
5475,24,Nacional privado,372
5475,16,Nacional público,373
5475,18,Regional público,374
5475,19,Nacional privado futuro,375
5480,19,Nacional privado futuro,376
5480,16,Nacional público,377
5480,18,Regional público,378
5480,21,Nacional privado,379
5480,24,Nacional privado,380
5483,19,Nacional privado futuro,381
5483,21,Nacional privado,382
5483,42,Nacional privado,383
5483,16,Nacional público,384
5483,18,Regional público,385
5490,28,Nacional público,386
5490,27,Regional público,387
5490,27,Nacional privado futuro,388
5490,21,Nacional privado,389
5490,24,Nacional privado,390
5495,46,Nacional privado futuro,391
5495,43,Nacional privado,392
5495,44,Nacional privado,393
5495,16,Nacional público,394
5495,18,Regional público,395
5501,19,Nacional privado futuro,396
5501,14,Nacional privado,397
5501,15,Nacional privado,398
5501,16,Nacional público,399
5501,18,Regional público,400
5541,19,Nacional privado futuro,401
5541,14,Nacional privado,402
5541,15,Nacional privado,403
5541,16,Nacional público,404
5541,18,Regional público,405
5543,14,Nacional privado,406
5543,15,Nacional privado,407
5543,16,Nacional público,408
5543,18,Regional público,409
5543,19,Nacional privado futuro,410
5576,19,Nacional privado futuro,411
5576,14,Nacional privado,412
5576,15,Nacional privado,413
5576,16,Nacional público,414
5576,18,Regional público,415
5579,18,Regional público,416
5579,19,Nacional privado futuro,417
5579,49,Nacional privado,418
5579,45,Nacional privado,419
5579,16,Nacional público,420
5585,18,Regional público,421
5585,19,Nacional privado futuro,422
5585,49,Nacional privado,423
5585,45,Nacional privado,424
5585,16,Nacional público,425
5591,19,Nacional privado futuro,426
5591,49,Nacional privado,427
5591,45,Nacional privado,428
5591,16,Nacional público,429
5591,18,Regional público,430
5604,50,Nacional privado futuro,431
5604,49,Nacional privado,432
5604,45,Nacional privado,433
5604,16,Nacional público,434
5604,18,Regional público,435
5607,19,Nacional privado futuro,436
5607,16,Nacional público,437
5607,18,Regional público,438
5607,14,Nacional privado,439
5607,15,Nacional privado,440
5615,19,Nacional privado futuro,441
5615,14,Nacional privado,442
5615,15,Nacional privado,443
5615,16,Nacional público,444
5615,18,Regional público,445
5615,28,Local con ánimo de lucro,446
5628,19,Nacional privado futuro,447
5628,16,Nacional público,448
5628,18,Regional público,449
5628,14,Nacional privado,450
5628,15,Nacional privado,451
5631,33,Local sin ánimo de lucro,452
5631,19,Nacional privado futuro,453
5631,14,Nacional privado,454
5631,15,Nacional privado,455
