,Frequency Hz,Spectrum dBm
0,65.5,-68.94079877865529
1,65.5078125,-68.94340603098539
2,65.515625,-68.8864879988886
3,65.5234375,-68.84796392770586
4,65.53125,-68.82757346225134
5,65.5390625,-68.73574266975565
6,65.546875,-68.64700564152585
7,65.5546875,-68.60861270598222
8,65.5625,-68.59211779500053
9,65.5703125,-68.53011635210865
10,65.578125,-68.50019120809803
11,65.5859375,-68.49788628478598
12,65.59375,-68.44510925555964
13,65.6015625,-68.37291148210946
14,65.609375,-68.33241753452252
15,65.6171875,-68.33822868613503
16,65.625,-68.28967598982183
17,65.6328125,-68.23178954877768
18,65.640625,-68.19499634879507
19,65.6484375,-68.15920532374086
20,65.65625,-68.07779424494902
21,65.6640625,-68.02192721634057
22,65.671875,-67.9855717644126
23,65.6796875,-67.9567585801511
24,65.6875,-67.92365840463229
25,65.6953125,-67.91626664038628
26,65.703125,-67.91344047575531
27,65.7109375,-67.87935317272488
28,65.71875,-67.81367552055839
29,65.7265625,-67.74425901493409
30,65.734375,-67.70848585818861
31,65.7421875,-67.70344991959405
32,65.75,-67.65040812622662
33,65.7578125,-67.59353224398421
34,65.765625,-67.56249892032656
35,65.7734375,-67.55603459685013
36,65.78125,-67.54326741180343
37,65.7890625,-67.51932919071703
38,65.796875,-67.45900587398846
39,65.8046875,-67.43838855624045
40,65.8125,-67.42636628329856
41,65.8203125,-67.37811986566602
42,65.828125,-67.34543547192176
43,65.8359375,-67.3139272627276
44,65.84375,-67.27230195171248
45,65.8515625,-67.23375036614402
46,65.859375,-67.21696321626149
47,65.8671875,-67.18431401917495
48,65.875,-67.12902077967263
49,65.8828125,-67.08669076037187
50,65.890625,-67.09553341782431
51,65.8984375,-67.0565285615698
52,65.90625,-66.97750570388655
53,65.9140625,-66.93218838254387
54,65.921875,-66.96970925909544
55,65.9296875,-66.94495595396953
56,65.9375,-66.84364165576578
57,65.9453125,-66.81177456955778
58,65.953125,-66.82006493668405
59,65.9609375,-66.77579785111423
60,65.96875,-66.70056580028654
61,65.9765625,-66.72318001505505
62,65.984375,-66.73518109786656
63,65.9921875,-66.65513351499462
64,66.0,-66.585661192547
65,66.0078125,-66.62692835124041
66,66.015625,-66.64026245911387
67,66.0234375,-66.52040434634984
68,66.03125,-66.44982364860465
69,66.0390625,-66.48384285692849
70,66.046875,-66.46255000040921
71,66.0546875,-66.37263839161045
72,66.0625,-66.34444909178296
73,66.0703125,-66.37716546198166
74,66.078125,-66.33189145552019
75,66.0859375,-66.25722679066145
76,66.09375,-66.24230895897418
77,66.1015625,-66.26453249468624
78,66.109375,-66.19648094499365
79,66.1171875,-66.12146450181565
80,66.125,-66.1066644391609
81,66.1328125,-66.12872602105001
82,66.140625,-66.07708294793059
83,66.1484375,-66.01222114039092
84,66.15625,-66.00029503990328
85,66.1640625,-66.000811312204
86,66.171875,-65.97442710799346
87,66.1796875,-65.92048322268491
88,66.1875,-65.92867782386524
89,66.1953125,-65.93313918970924
90,66.203125,-65.87742599943545
91,66.2109375,-65.84368560915065
92,66.21875,-65.855608411783
93,66.2265625,-65.81603277565073
94,66.234375,-65.62587365267224
95,66.2421875,-64.51142014112652
96,66.25,-63.425257664601915
97,66.2578125,-64.45493930303827
98,66.265625,-65.54191667442669
99,66.2734375,-65.66517699593552
100,66.28125,-65.68722108507745
101,66.2890625,-65.63818612237807
102,66.296875,-65.56328594673133
103,66.3046875,-65.61150268354828
104,66.3125,-65.67406830838308
105,66.3203125,-65.5890765150754
106,66.328125,-65.51996472622085
107,66.3359375,-65.57756011403228
108,66.34375,-65.58269623785831
109,66.3515625,-65.45910496213104
110,66.359375,-65.44318256965889
111,66.3671875,-65.52813624151652
112,66.375,-65.51233922851111
113,66.3828125,-65.41221867746121
114,66.390625,-65.45227679534071
115,66.3984375,-65.51345984882613
116,66.40625,-65.44508215618697
117,66.4140625,-65.39100360030974
118,66.421875,-65.45241606648308
119,66.4296875,-65.47901533729792
120,66.4375,-65.39776657768384
121,66.4453125,-65.32194036942253
122,66.453125,-65.35765577487861
123,66.4609375,-65.39106141822323
124,66.46875,-65.30502545861013
125,66.4765625,-65.2817337955455
126,66.484375,-65.32469477231886
127,66.4921875,-65.28732882600443
128,66.5,-65.23451694928703
