,Frequency Hz,Spectrum dBm
0,65.5,-77.61015668261683
1,65.5078125,-77.8305866799571
2,65.515625,-78.30403607831599
3,65.5234375,-77.63231179560681
4,65.53125,-77.33323470453969
5,65.5390625,-76.96319865521083
6,65.546875,-76.96426396649943
7,65.5546875,-76.48217829805311
8,65.5625,-76.38729404805576
9,65.5703125,-76.29398424707152
10,65.578125,-76.86578588037804
11,65.5859375,-77.10822971562108
12,65.59375,-77.08905350464713
13,65.6015625,-77.09379613236564
14,65.609375,-77.2363163160376
15,65.6171875,-77.46037060515124
16,65.625,-77.58357619241
17,65.6328125,-77.27341335813134
18,65.640625,-77.16316573586167
19,65.6484375,-76.41100861952923
20,65.65625,-75.95515369385106
21,65.6640625,-75.62267671872031
22,65.671875,-75.41841220431367
23,65.6796875,-75.2138762576813
24,65.6875,-75.15076114122523
25,65.6953125,-75.24719368041065
26,65.703125,-74.94706241685702
27,65.7109375,-74.77154592660378
28,65.71875,-74.78316205428034
29,65.7265625,-74.85497133043872
30,65.734375,-74.99805018266636
31,65.7421875,-74.38090177481364
32,65.75,-73.62715653768448
33,65.7578125,-74.36739512430601
34,65.765625,-74.88971155343343
35,65.7734375,-75.15218810527011
36,65.78125,-74.91348823936248
37,65.7890625,-75.18008267113875
38,65.796875,-75.13551567385493
39,65.8046875,-75.56367274459285
40,65.8125,-75.32557494999239
41,65.8203125,-74.70806384997357
42,65.828125,-74.25668199047522
43,65.8359375,-74.14724203462052
44,65.84375,-73.76657240156753
45,65.8515625,-74.01708817367219
46,65.859375,-73.79413741167633
47,65.8671875,-74.36067367225975
48,65.875,-74.11092133167804
49,65.8828125,-74.33938211252378
50,65.890625,-74.28649067324523
51,65.8984375,-74.5305166063735
52,65.90625,-74.23508528333882
53,65.9140625,-74.49255869883044
54,65.921875,-74.02217147687689
55,65.9296875,-73.87555801983159
56,65.9375,-73.2096259602303
57,65.9453125,-73.63005616567449
58,65.953125,-73.40653967397128
59,65.9609375,-73.45908301190462
60,65.96875,-72.96038974449635
61,65.9765625,-72.92630412289436
62,65.984375,-72.20907054627851
63,65.9921875,-72.11904809278342
64,66.0,-71.34107096895318
65,66.0078125,-71.25782047714755
66,66.015625,-70.4977829756591
67,66.0234375,-70.9982280018488
68,66.03125,-70.56926489216336
69,66.0390625,-70.94105396987551
70,66.046875,-70.56595841026046
71,66.0546875,-70.93909223427801
72,66.0625,-70.14012169304418
73,66.0703125,-69.63994438289697
74,66.078125,-68.52377970452937
75,66.0859375,-68.00748424773525
76,66.09375,-66.98362764817915
77,66.1015625,-67.52986265667664
78,66.109375,-66.9470013409042
79,66.1171875,-66.61289434047603
80,66.125,-65.56732864131685
81,66.1328125,-66.13345982475795
82,66.140625,-65.50601059961804
83,66.1484375,-65.33500964058638
84,66.15625,-63.96713593503398
85,66.1640625,-62.9689305969268
86,66.171875,-61.191663175061954
87,66.1796875,-59.66010504074299
88,66.1875,-57.669618846621496
89,66.1953125,-56.75867224395706
90,66.203125,-54.958705080266014
91,66.2109375,-54.549514830960625
92,66.21875,-53.06033170444368
93,66.2265625,-51.583251397690134
94,66.234375,-36.00774124335672
95,66.2421875,-25.242674492797715
96,66.25,-21.79425508724991
97,66.2578125,-25.010243779375678
98,66.265625,-35.513907216049404
99,66.2734375,-51.64242278712058
100,66.28125,-53.78163888688911
101,66.2890625,-55.17385663112931
102,66.296875,-55.832837868437494
103,66.3046875,-57.64479984295489
104,66.3125,-58.64417926054236
105,66.3203125,-60.443221262080165
106,66.328125,-61.77106663757281
107,66.3359375,-63.58409862861302
108,66.34375,-64.61197248386645
109,66.3515625,-65.69584115127401
110,66.359375,-65.79535814046857
111,66.3671875,-66.32399973206817
112,66.375,-65.75311293315211
113,66.3828125,-66.89243374814039
114,66.390625,-67.55352313295197
115,66.3984375,-68.2966421004587
116,66.40625,-67.97813900730547
117,66.4140625,-69.1373646719619
118,66.421875,-69.8479008426437
119,66.4296875,-70.86379737819524
120,66.4375,-71.34435705308812
121,66.4453125,-72.05505339002607
122,66.453125,-71.78601776966417
123,66.4609375,-72.0790940058321
124,66.46875,-71.42394287938458
125,66.4765625,-71.51502453798514
126,66.484375,-70.81387660615296
127,66.4921875,-71.48307241679507
128,66.5,-71.7034886817267
129,66.5078125,-72.3326284410802
130,66.515625,-72.36666106860221
131,66.5234375,-73.17180672485229
132,66.53125,-73.74931752756018
133,66.5390625,-74.35114975530797
134,66.546875,-74.49771310089574
135,66.5546875,-74.43982854088
136,66.5625,-73.477790369344
137,66.5703125,-73.72197804781568
138,66.578125,-73.80932683615052
139,66.5859375,-74.2626235311213
140,66.59375,-74.1522942998471
141,66.6015625,-74.51868527192049
142,66.609375,-74.50170378794355
143,66.6171875,-74.54593644441891
144,66.625,-74.06121011345294
145,66.6328125,-74.02671441249532
146,66.640625,-73.26376092631241
147,66.6484375,-73.38525411517209
148,66.65625,-73.18087277729416
149,66.6640625,-73.38327247261878
150,66.671875,-73.5186837883676
151,66.6796875,-73.98813295450755
152,66.6875,-74.6744697264792
153,66.6953125,-75.04145183295769
154,66.703125,-74.87256164986863
155,66.7109375,-74.865259795474
156,66.71875,-74.5744260858051
157,66.7265625,-74.48928960529037
158,66.734375,-74.21590262306773
159,66.7421875,-74.55061282831501
160,66.75,-74.76724142015597
161,66.7578125,-74.908528181731
162,66.765625,-75.13825361523332
163,66.7734375,-75.21125865493478
164,66.78125,-75.30609476641577
165,66.7890625,-75.21829901009065
166,66.796875,-75.11207875356311
167,66.8046875,-75.07620021307672
168,66.8125,-74.9177335651981
169,66.8203125,-74.82488909997642
170,66.828125,-74.84013429361666
171,66.8359375,-74.87589670469266
172,66.84375,-75.10354524573644
173,66.8515625,-75.13370928079694
174,66.859375,-75.56652038209445
175,66.8671875,-75.46993115553737
176,66.875,-75.45451792520787
177,66.8828125,-75.18654318986866
178,66.890625,-75.4081492811427
179,66.8984375,-75.72518267124032
180,66.90625,-76.09487219643856
181,66.9140625,-76.10086786472947
182,66.921875,-76.19332248906446
183,66.9296875,-75.91874651513146
184,66.9375,-75.76807218174214
185,66.9453125,-75.58626080021564
186,66.953125,-75.9079080174855
187,66.9609375,-75.9304846729453
188,66.96875,-76.74966073335034
189,66.9765625,-76.97325481833484
190,66.984375,-77.6704127785183
191,66.9921875,-77.56806011478865
192,67.0,-77.46384546896337
193,67.0078125,-77.10414012062807
194,67.015625,-77.08014250184088
195,67.0234375,-76.7814243909609
196,67.03125,-76.9543869863798
197,67.0390625,-77.01137038983073
198,67.046875,-78.03463016111135
199,67.0546875,-78.34058612029557
200,67.0625,-78.51354212412268
201,67.0703125,-78.07835281056929
202,67.078125,-78.15148692714811
203,67.0859375,-77.95573880629425
204,67.09375,-78.07210552719258
205,67.1015625,-80.53368504792451
206,67.109375,-80.64467147200511
207,67.1171875,-80.5477808056867
208,67.125,-80.8469305671033
209,67.1328125,-80.15023213081331
210,67.140625,-80.11148867324329
211,67.1484375,-79.79999691397647
212,67.15625,-79.92384756880678
213,67.1640625,-79.66674243624415
214,67.171875,-79.64463123270382
215,67.1796875,-79.68009087962788
216,67.1875,-80.35573166222163
217,67.1953125,-80.53787651038358
218,67.203125,-80.92282623942907
219,67.2109375,-80.6472293320573
220,67.21875,-81.03468325956752
221,67.2265625,-80.83609291775635
222,67.234375,-81.2643775325862
223,67.2421875,-80.77943455902437
224,67.25,-80.86062344717683
225,67.2578125,-80.82959812032175
226,67.265625,-81.29300661032366
227,67.2734375,-81.11127868634867
228,67.28125,-81.4236777635532
229,67.2890625,-81.13378788424535
230,67.296875,-81.0183254743698
231,67.3046875,-80.80577046556637
232,67.3125,-80.97682508584792
233,67.3203125,-80.9743654576035
234,67.328125,-81.68490461010713
235,67.3359375,-82.29037257525752
236,67.34375,-82.5778348796444
237,67.3515625,-81.90238871298874
238,67.359375,-81.8248474286051
239,67.3671875,-81.54392485783157
240,67.375,-81.54683347621766
241,67.3828125,-81.27382880819852
242,67.390625,-81.48436400626197
243,67.3984375,-81.10202796944304
244,67.40625,-80.85001371150989
245,67.4140625,-80.72344105825277
246,67.421875,-81.36315211548043
247,67.4296875,-81.2561110008692
248,67.4375,-81.04925547041941
249,67.4453125,-80.49934118786368
250,67.453125,-81.02743353885745
251,67.4609375,-80.93923221510741
252,67.46875,-81.04188291880148
253,67.4765625,-80.94280762868028
254,67.484375,-81.17215565753831
255,67.4921875,-80.90643334176325
256,67.5,-80.96132035831634
257,67.5078125,-80.95156498662186
258,67.515625,-81.37109309190906
259,67.5234375,-81.45197735533237
260,67.53125,-81.87664765771574
261,67.5390625,-82.0705113606976
262,67.546875,-82.46295261536396
263,67.5546875,-82.50259000078778
264,67.5625,-82.35942581837392
265,67.5703125,-81.83152200240849
266,67.578125,-82.04529464487872
267,67.5859375,-82.04372861736141
268,67.59375,-81.83030992956174
269,67.6015625,-81.4577074130033
270,67.609375,-81.39012384545033
271,67.6171875,-81.25197835153907
272,67.625,-81.39503491318968
273,67.6328125,-81.65155877254874
274,67.640625,-82.03079817250094
275,67.6484375,-81.84540010080794
276,67.65625,-81.74555571713817
277,67.6640625,-81.31512823063164
278,67.671875,-81.03763263489871
279,67.6796875,-80.76928460018846
280,67.6875,-80.42802197111297
281,67.6953125,-80.06127688677078
282,67.703125,-79.8843706449057
283,67.7109375,-79.9300806135963
284,67.71875,-79.77116214878725
285,67.7265625,-79.28094075062087
286,67.734375,-73.47698844582527
287,67.7421875,-66.80104447735577
288,67.75,-64.56660391341904
289,67.7578125,-66.78377706324889
290,67.765625,-66.37613308906147
291,67.7734375,-66.6947782822188
292,67.78125,-72.45253887775579
293,67.7890625,-78.05792371129587
294,67.796875,-79.13869400201098
295,67.8046875,-79.21897208922589
296,67.8125,-79.50017671405801
297,67.8203125,-79.87435685150062
298,67.828125,-80.66138843435004
299,67.8359375,-81.19761232780627
300,67.84375,-81.76471233270588
301,67.8515625,-81.90534069950633
302,67.859375,-82.39581813229803
303,67.8671875,-82.64651532969876
304,67.875,-82.41650271140088
305,67.8828125,-82.35034515099277
306,67.890625,-82.26070261293117
307,67.8984375,-81.9639175720478
308,67.90625,-81.42592608552933
309,67.9140625,-81.28010448649317
310,67.921875,-81.08724021960626
311,67.9296875,-80.80525094583912
312,67.9375,-80.52923504656492
313,67.9453125,-80.35837604608282
314,67.953125,-80.57750037553622
315,67.9609375,-80.77595247103211
316,67.96875,-80.57558488637358
317,67.9765625,-80.60018311149607
318,67.984375,-80.90091574643397
319,67.9921875,-81.0292605644836
320,68.0,-81.11144122280652
321,68.0078125,-81.51152803256585
322,68.015625,-81.88279036849224
323,68.0234375,-82.00673734791944
324,68.03125,-82.0624122120636
325,68.0390625,-82.33574175503514
326,68.046875,-82.53918637950322
327,68.0546875,-82.55074585033084
328,68.0625,-82.42460434677953
329,68.0703125,-82.457742399399
330,68.078125,-82.22528966431383
331,68.0859375,-82.61540754966467
332,68.09375,-82.7771979043198
333,68.1015625,-82.59671624132586
334,68.109375,-82.35035012340327
335,68.1171875,-82.69687561150359
336,68.125,-82.69448995282484
337,68.1328125,-82.60937757849533
338,68.140625,-82.6714037620164
339,68.1484375,-82.60859432989488
340,68.15625,-82.24873709025553
341,68.1640625,-82.0413873242873
342,68.171875,-81.90877359947967
343,68.1796875,-81.91766431034503
344,68.1875,-81.54951330113309
345,68.1953125,-81.63765593853607
346,68.203125,-82.18268504235564
347,68.2109375,-82.50265284348103
348,68.21875,-82.02948463837673
349,68.2265625,-81.83887221742066
350,68.234375,-81.00236995023607
351,68.2421875,-78.00700748981598
352,68.25,-76.00195941072617
353,68.2578125,-77.73228069444535
354,68.265625,-80.16596121694907
355,68.2734375,-80.94339604204661
356,68.28125,-81.1309692086129
357,68.2890625,-81.35290196027216
358,68.296875,-81.73959365224727
359,68.3046875,-82.38948142158637
360,68.3125,-82.47048160576179
361,68.3203125,-82.59682275711019
362,68.328125,-82.62215018400603
363,68.3359375,-82.49207035916486
364,68.34375,-82.23914231107605
365,68.3515625,-81.9948192170568
366,68.359375,-82.00627291113491
367,68.3671875,-81.94334072160498
368,68.375,-81.88938632597862
369,68.3828125,-82.16812193095785
370,68.390625,-82.16509050963165
371,68.3984375,-82.08979214023668
372,68.40625,-81.89622332541404
373,68.4140625,-82.08831122330353
374,68.421875,-82.05107256018475
375,68.4296875,-82.16346386167578
376,68.4375,-82.13074384279739
377,68.4453125,-82.02939981289987
378,68.453125,-81.7722504104438
379,68.4609375,-81.78144270394918
380,68.46875,-81.57043542059301
381,68.4765625,-81.38214499737812
382,68.484375,-80.90054493788729
383,68.4921875,-80.27827542770521
384,68.5,-79.58307558534635
385,68.5078125,-79.80512237478726
386,68.515625,-80.07689184111423
387,68.5234375,-80.266286257072
388,68.53125,-80.84650068489977
389,68.5390625,-81.4819868416252
390,68.546875,-81.7585556194247
391,68.5546875,-81.83393763092688
392,68.5625,-81.68002403239521
393,68.5703125,-81.88983576647148
394,68.578125,-82.11087577370712
395,68.5859375,-81.99463718819509
396,68.59375,-81.52297916836872
397,68.6015625,-81.3414772547978
398,68.609375,-81.07213111784219
399,68.6171875,-80.81388880470935
400,68.625,-80.83088817108921
401,68.6328125,-81.08747649785633
402,68.640625,-80.95026221446744
403,68.6484375,-80.38353295269901
404,68.65625,-80.1715449446032
405,68.6640625,-80.49273246763921
406,68.671875,-80.06532049042902
407,68.6796875,-79.85555408929287
408,68.6875,-79.93326005869703
409,68.6953125,-79.50501271691341
410,68.703125,-79.26676897843612
411,68.7109375,-79.09745381545453
412,68.71875,-79.0667000826922
413,68.7265625,-79.55197848940371
414,68.734375,-79.74786309055635
415,68.7421875,-79.39294009044599
416,68.75,-79.05602194954895
417,68.7578125,-79.23438590116818
418,68.765625,-79.1065308799769
419,68.7734375,-79.31013168243702
420,68.78125,-79.404806040313
421,68.7890625,-79.67869526792803
422,68.796875,-80.2661510863559
423,68.8046875,-80.52746457859611
424,68.8125,-80.68889621758689
425,68.8203125,-80.71806906083089
426,68.828125,-80.47425967360995
427,68.8359375,-79.94575269151218
428,68.84375,-79.35965912661398
429,68.8515625,-79.46401321909804
430,68.859375,-79.78799147904772
431,68.8671875,-80.08516570898895
432,68.875,-80.7202990487166
433,68.8828125,-81.02753081528628
434,68.890625,-81.25269423746884
435,68.8984375,-81.55190348119137
436,68.90625,-81.79069429920833
437,68.9140625,-81.9273488858259
438,68.921875,-81.69042104546853
439,68.9296875,-81.39137230920349
440,68.9375,-80.66877235916598
441,68.9453125,-79.87500712087054
442,68.953125,-79.608069856979
443,68.9609375,-79.48147169202349
444,68.96875,-78.81114649522824
445,68.9765625,-78.22371074861374
446,68.984375,-78.0044523043639
447,68.9921875,-77.10546492717636
448,69.0,-76.48162824964174
449,69.0078125,-77.55818481369798
450,69.015625,-79.0173476602111
451,69.0234375,-79.71602518710266
452,69.03125,-79.98568440259174
453,69.0390625,-80.21203928070219
454,69.046875,-80.05912284993617
455,69.0546875,-79.7897342263975
456,69.0625,-79.96141174161696
457,69.0703125,-80.64777713639407
458,69.078125,-81.44610314648028
459,69.0859375,-82.1660734519001
460,69.09375,-82.32049285961028
461,69.1015625,-82.26196779769364
462,69.109375,-82.0940188762465
463,69.1171875,-81.88847203320078
464,69.125,-81.88605600761788
465,69.1328125,-81.93488086252908
466,69.140625,-82.0516316789401
467,69.1484375,-82.16106068601711
468,69.15625,-82.12058533555287
469,69.1640625,-82.08502422165262
470,69.171875,-81.8977013893309
471,69.1796875,-82.03463319174342
472,69.1875,-82.41934282180881
473,69.1953125,-82.80995249101426
474,69.203125,-82.98611598319116
475,69.2109375,-82.75773171053771
476,69.21875,-82.45778516209867
477,69.2265625,-81.88277219558995
478,69.234375,-80.84651578451326
479,69.2421875,-78.19976894308394
480,69.25,-76.51102953216629
481,69.2578125,-78.16714880584333
482,69.265625,-80.53830232022003
483,69.2734375,-80.83561543502405
484,69.28125,-80.32838235671146
485,69.2890625,-80.0668184592086
486,69.296875,-79.93038516054415
487,69.3046875,-79.80254254930287
488,69.3125,-79.99750458617473
489,69.3203125,-80.33469476971936
490,69.328125,-80.85000379072193
491,69.3359375,-81.48301549358554
492,69.34375,-81.92541736309059
493,69.3515625,-82.2722082678486
494,69.359375,-82.6227150133656
495,69.3671875,-82.84598858165234
496,69.375,-82.90783171184394
497,69.3828125,-83.0284201280953
498,69.390625,-83.0092913561178
499,69.3984375,-82.51139576487802
500,69.40625,-81.8402215675758
501,69.4140625,-81.2977529596057
502,69.421875,-80.73376511143636
503,69.4296875,-80.69873255831402
504,69.4375,-80.92276892376026
505,69.4453125,-80.99453306445272
506,69.453125,-81.46795146225028
507,69.4609375,-81.90978125201778
508,69.46875,-82.44093237060056
509,69.4765625,-83.01586531369225
510,69.484375,-82.7177356987994
511,69.4921875,-82.05947955416806
512,69.5,-81.88330696031856
513,69.5078125,-82.03553682784546
514,69.515625,-82.31231973440792
515,69.5234375,-82.81800024498261
516,69.53125,-83.08294829413938
517,69.5390625,-82.75304743496312
518,69.546875,-82.40171105467003
519,69.5546875,-82.19844634586372
520,69.5625,-82.00779024666198
521,69.5703125,-81.98388535740116
522,69.578125,-82.11904592990552
523,69.5859375,-82.48548322088952
524,69.59375,-82.88667740708217
525,69.6015625,-83.03282930850408
526,69.609375,-82.89838005446595
527,69.6171875,-82.75616717691479
528,69.625,-82.56987561350105
529,69.6328125,-82.77041906666445
530,69.640625,-82.97186739558434
531,69.6484375,-82.91248463689497
532,69.65625,-82.68819937285083
533,69.6640625,-82.83875747795625
534,69.671875,-82.81546441152508
535,69.6796875,-82.73657292348986
536,69.6875,-82.2573417911055
537,69.6953125,-82.34147444998105
538,69.703125,-82.16157596009631
539,69.7109375,-82.1681872200814
540,69.71875,-82.06089102288695
541,69.7265625,-81.81576152003467
542,69.734375,-81.2877185697536
543,69.7421875,-81.01112833795985
544,69.75,-80.26450928000392
545,69.7578125,-80.02647336501663
546,69.765625,-79.5876952093437
547,69.7734375,-78.98874637070017
548,69.78125,-78.37606016278087
549,69.7890625,-78.40848409781346
550,69.796875,-78.05854644065973
551,69.8046875,-78.00622680473694
