id,nombre,departamento
708,SUCRE,SUCRE
709,ALPUJARRA,TOLIMA
710,ALVARADO,TOLIMA
711,ARMERO (GUAYABAL),TOLIMA
712,ATACO,TOLIMA
713,CAJAMARCA,TOLIMA
714,CHAPARRAL,TOLIMA
715,ESPINAL,TOLIMA
716,FALAN,TOLIMA
717,FLANDES,TOLIMA
718,HONDA,TOLIMA
719,IBAGUÉ,TOLIMA
720,IBAGUÉ ÁREA-1,TOLIMA
721,IBAGUÉ ÁREA-2,TOLIMA
722,ICONONZO,TOLIMA
723,LÍBANO,TOLIMA
724,MELGAR,TOLIMA
725,MURILLO,TOLIMA
726,NATAGAIMA,TOLIMA
727,ORTEGA,TOLIMA
728,PALOCABILDO,TOLIMA
729,PIEDRAS,TOLIMA
730,PLANADAS,TOLIMA
731,PURIFICACIÓN,TOLIMA
732,RIOBLANCO,TOLIMA
733,RONCESVALLES,TOLIMA
734,SALDAÑA,TOLIMA
735,SAN ANTONIO,TOLIMA
736,SAN SEBASTIÁN DE MARIQUITA,TOLIMA
737,ALCALÁ,VALLE DEL CAUCA
738,ANSERMANUEVO,VALLE DEL CAUCA
739,ARGELIA,VALLE DEL CAUCA
740,BOLIVAR,VALLE DEL CAUCA
741,BUENAVENTURA,VALLE DEL CAUCA
742,BUGALAGRANDE,VALLE DEL CAUCA
743,CANDELARIA,VALLE DEL CAUCA
744,CARTAGO,VALLE DEL CAUCA
745,DAGUA,VALLE DEL CAUCA
746,EL ÁGUILA,VALLE DEL CAUCA
747,EL CERRITO,VALLE DEL CAUCA
748,EL DOVIO,VALLE DEL CAUCA
749,FLORIDA,VALLE DEL CAUCA
750,GUACARÍ,VALLE DEL CAUCA
751,GUADALAJARA DE BUGA,VALLE DEL CAUCA
752,JAMUNDÍ,VALLE DEL CAUCA
753,LA UNIÓN,VALLE DEL CAUCA
754,LA VICTORIA,VALLE DEL CAUCA
755,OBANDO,VALLE DEL CAUCA
756,PALMIRA,VALLE DEL CAUCA
757,PRADERA,VALLE DEL CAUCA
758,RESTREPO,VALLE DEL CAUCA
759,RIOFRÍO,VALLE DEL CAUCA
760,ROLDANILLO,VALLE DEL CAUCA
761,SANTIAGO DE CALI,VALLE DEL CAUCA
762,SANTIAGO DE CALI ÁREA-2,VALLE DEL CAUCA
763,SANTIAGO DE CALI ÁREA-3,VALLE DEL CAUCA
764,SEVILLA,VALLE DEL CAUCA
765,TRUJILLO,VALLE DEL CAUCA
766,TULUÁ,VALLE DEL CAUCA
767,ULLOA,VALLE DEL CAUCA
768,VIJES,VALLE DEL CAUCA
769,YUMBO,VALLE DEL CAUCA
770,ZARZAL,VALLE DEL CAUCA
771,MITÚ,VAUPÉS
772,PUERTO CARREÑO,VICHADA
