id,nombre,departamento
154,CHIVATÁ,BOYACÁ
155,CIÉNEGA,BOYACÁ
156,CÓMBITA,BOYACÁ
157,COPER,BOYACÁ
158,COVARACHÍA,BOYACÁ
159,CUBARÁ,BOYACÁ
160,DUITAMA,BOYACÁ
161,EL COCUY,BOYACÁ
162,EL ESPINO,BOYACÁ
163,FIRAVITOBA,BOYACÁ
164,GÁMEZA,BOYACÁ
165,GARAGOA,BOYACÁ
166,GUAYATÁ,BOYACÁ
167,GÜICÁN,BOYACÁ
168,JENESANO,BOYACÁ
169,LA UVITA,BOYACÁ
170,LABRANZAGRANDE,BOYACÁ
171,MACANAL,BOYACÁ
172,MIRAFLORES,BOYACÁ
173,MONGUA,BOYACÁ
174,MONGUÍ,BOYACÁ
175,MONIQUIRÁ,BOYACÁ
176,NOBSA,BOYACÁ
177,NUEVO COLÓN,BOYACÁ
178,OICATÁ,BOYACÁ
179,OTANCHE,BOYACÁ
180,PAIPA,BOYACÁ
181,PAUNA,BOYACÁ
182,PAZ DE RÍO,BOYACÁ
183,PESCA,BOYACÁ
184,PUERTO BOYACÁ,BOYACÁ
185,RAMIRIQUÍ,BOYACÁ
186,SABOYÁ,BOYACÁ
187,SAN MIGUEL DE SEMA,BOYACÁ
188,SANTA ROSA DE VITERBO,BOYACÁ
189,SANTA SOFÍA,BOYACÁ
190,SANTANA,BOYACÁ
191,SIACHOQUE,BOYACÁ
192,SOATÁ,BOYACÁ
193,SOCHA,BOYACÁ
194,SOGAMOSO,BOYACÁ
195,SORACÁ,BOYACÁ
196,SUTAMARCHÁN,BOYACÁ
197,SUTATENZA,BOYACÁ
198,TENZA,BOYACÁ
199,TIBASOSA,BOYACÁ
200,TUNJA,BOYACÁ
201,TURMEQUÉ,BOYACÁ
202,TUTA,BOYACÁ
203,ÚMBITA,BOYACÁ
204,VENTAQUEMADA,BOYACÁ
205,VILLA DE LEYVA,BOYACÁ
206,VIRACACHÁ,BOYACÁ
207,ZETAQUIRA,BOYACÁ
208,AGUADAS,CALDAS
209,ANSERMA,CALDAS
210,BELALCÁZAR,CALDAS
211,CHINCHINÁ,CALDAS
212,LA DORADA,CALDAS
213,LA MERCED,CALDAS
214,MANIZALES,CALDAS
215,MANZANARES,CALDAS
216,NEIRA,CALDAS
217,PALESTINA,CALDAS
218,PENSILVANIA,CALDAS
219,RIOSUCIO,CALDAS
220,RISARALDA,CALDAS
221,SALAMINA,CALDAS
222,SAMANÁ,CALDAS
223,SAN JOSÉ,CALDAS
224,VILLAMARÍA,CALDAS
225,VITERBO,CALDAS
226,BELÉN DE LOS ANDAQUÍES,CAQUETÁ
227,CARTAGENA DEL CHAIRÁ,CAQUETÁ
228,EL DONCELLO,CAQUETÁ
229,EL PAUJIL,CAQUETÁ
230,FLORENCIA,CAQUETÁ
231,LA MONTAÑITA,CAQUETÁ
232,MILÁN,CAQUETÁ
233,PUERTO RICO,CAQUETÁ
234,SAN JOSÉ DEL FRAGUA,CAQUETÁ
235,SAN VICENTE DEL CAGUÁN,CAQUETÁ
236,SOLANO,CAQUETÁ
237,SOLITA,CAQUETÁ
238,AGUAZUL,CASANARE
239,CHÁMEZA,CASANARE
240,HATO COROZAL,CASANARE
241,MANÍ,CASANARE
242,NUNCHÍA,CASANARE
243,OROCUÉ,CASANARE
244,PAZ DE ARIPORO,CASANARE
245,SÁCAMA,CASANARE
246,TÁMARA,CASANARE
247,TAURAMENA,CASANARE
248,TRINIDAD,CASANARE
249,VILLANUEVA,CASANARE
250,YOPAL,CASANARE
251,ALMAGUER,CAUCA
252,ARGELIA,CAUCA
253,BALBOA,CAUCA
254,BOLÍVAR,CAUCA
255,CAJIBÍO,CAUCA
256,CALDONO,CAUCA
257,EL TAMBO,CAUCA
258,GUACHENE,CAUCA
259,GUAPI,CAUCA
260,INZÁ,CAUCA
261,JAMBALÓ,CAUCA
262,LA SIERRA,CAUCA
263,LA VEGA,CAUCA
264,LÓPEZ (MICAY),CAUCA
265,MERCADERES,CAUCA
266,MORALES,CAUCA
267,PÁEZ (BELALCÁZAR),CAUCA
268,PATÍA (EL BORDO),CAUCA
269,PIAMONTE,CAUCA
270,POPAYÁN,CAUCA
271,POPAYÁN ÁREA-1,CAUCA
272,POPAYÁN ÁREA-2,CAUCA
273,PUERTO TEJADA,CAUCA
274,PURACÉ (COCONUCO),CAUCA
275,ROSAS,CAUCA
276,SANTA ROSA,CAUCA
277,SANTANDER DE QUILICHAO,CAUCA
278,SILVIA,CAUCA
279,SOTARÁ (PAISPAMBA),CAUCA
280,TIMBÍO,CAUCA
281,TORIBÍO,CAUCA
282,TOTORÓ,CAUCA
283,VILLA RICA,CAUCA
284,AGUACHICA,CESAR
285,AGUSTÍN CODAZZI,CESAR
286,ASTREA,CESAR
287,BECERRIL,CESAR
288,BOSCONIA,CESAR
289,CHIMICHAGUA,CESAR
290,CHIRIGUANÁ,CESAR
291,CURUMANÍ,CESAR
292,EL COPEY,CESAR
293,EL PASO,CESAR
294,LA JAGUA DE IBIRICO,CESAR
295,LA PAZ (ROBLES),CESAR
296,MANAURE BALCÓN DEL CESAR,CESAR
297,PAILITAS,CESAR
298,PELAYA,CESAR
299,PUEBLO BELLO,CESAR
300,RÍO DE ORO,CESAR
301,SAN ALBERTO,CESAR
302,TAMALAMEQUE,CESAR
303,VALLEDUPAR,CESAR
304,VALLEDUPAR ÁREA-1,CESAR
305,VALLEDUPAR ÁREA-2,CESAR
306,ATRATO,CHOCÓ
307,BAHÍA SOLANO (MUTIS),CHOCÓ
308,BAJO BAUDÓ (PIZARRO),CHOCÓ
309,CONDOTO,CHOCÓ
310,EL CARMEN DE ATRATO,CHOCÓ
311,ISTMINA,CHOCÓ
312,LLORÓ,CHOCÓ
313,MEDIO BAUDÓ,CHOCÓ
314,NUQUÍ,CHOCÓ
315,QUIBDÓ,CHOCÓ
316,SAN JOSÉ DEL PALMAR,CHOCÓ
317,TADÓ,CHOCÓ
318,UNIÓN PANAMERICANA,CHOCÓ
319,AYAPEL,CÓRDOBA
320,BUENAVISTA,CÓRDOBA
321,CERETÉ,CÓRDOBA
322,CHINÚ,CÓRDOBA
323,CIÉNAGA DE ORO,CÓRDOBA
324,COTORRA,CÓRDOBA
325,LA APARTADA,CÓRDOBA
326,MONTELÍBANO,CÓRDOBA
327,MONTERÍA,CÓRDOBA
328,MONTERÍA ÁREA-1,CÓRDOBA
329,MOÑITOS,CÓRDOBA
330,PLANETA RICA,CÓRDOBA
331,PUERTO LIBERTADOR,CÓRDOBA
332,PURÍSIMA,CÓRDOBA
333,SAHAGÚN,CÓRDOBA
334,SAN ANDRÉS DE SOTAVENTO,CÓRDOBA
335,SAN ANTERO,CÓRDOBA
336,SAN BERNARDO DEL VIENTO,CÓRDOBA
337,SAN CARLOS,CÓRDOBA
338,SAN PELAYO,CÓRDOBA
339,SANTA CRUZ DE LORICA,CÓRDOBA
340,TIERRALTA,CÓRDOBA
341,TUCHÍN,CÓRDOBA
342,AGUA DE DIOS,CUNDINAMARCA
343,ANAPOIMA,CUNDINAMARCA
344,ANOLAIMA,CUNDINAMARCA
345,CACHIPAY,CUNDINAMARCA
346,CAJICÁ,CUNDINAMARCA
347,CAPARRAPÍ,CUNDINAMARCA
348,CÁQUEZA,CUNDINAMARCA
349,CARMEN DE CARUPA,CUNDINAMARCA
350,CHÍA,CUNDINAMARCA
351,CHOACHÍ,CUNDINAMARCA
352,CHOCONTÁ,CUNDINAMARCA
353,COGUA,CUNDINAMARCA
354,CUCUNUBÁ,CUNDINAMARCA
355,EL COLEGIO,CUNDINAMARCA
356,EL PEÑÓN,CUNDINAMARCA
357,EL ROSAL,CUNDINAMARCA
358,FACATATIVÁ,CUNDINAMARCA
359,FÓMEQUE,CUNDINAMARCA
360,FUNZA,CUNDINAMARCA
361,FÚQUENE,CUNDINAMARCA
362,FUSAGASUGÁ,CUNDINAMARCA
363,GACHALÁ,CUNDINAMARCA
364,GACHANCIPÁ,CUNDINAMARCA
365,GIRARDOT,CUNDINAMARCA
366,GRANADA,CUNDINAMARCA
367,GUACHETÁ,CUNDINAMARCA
368,GUADUAS,CUNDINAMARCA
369,GUATAVITA,CUNDINAMARCA
370,GUAYABAL DE SÍQUIMA,CUNDINAMARCA
371,JUNÍN,CUNDINAMARCA
372,LA CALERA,CUNDINAMARCA
373,LA MESA,CUNDINAMARCA
374,LA PALMA,CUNDINAMARCA
375,LA PEÑA,CUNDINAMARCA
376,LA VEGA,CUNDINAMARCA
377,LENGUAZAQUE,CUNDINAMARCA
378,MADRID,CUNDINAMARCA
379,MANTA,CUNDINAMARCA
380,MOSQUERA,CUNDINAMARCA
381,NEMOCÓN,CUNDINAMARCA
382,NILO,CUNDINAMARCA
383,NOCAIMA,CUNDINAMARCA
384,PACHO,CUNDINAMARCA
385,PARATEBUENO,CUNDINAMARCA
386,PASCA,CUNDINAMARCA
387,PUERTO SALGAR,CUNDINAMARCA
388,RICAURTE,CUNDINAMARCA
389,SAN BERNARDO,CUNDINAMARCA
390,SAN FRANCISCO,CUNDINAMARCA
391,SAN JUAN DE RÍO SECO,CUNDINAMARCA
392,SASAIMA,CUNDINAMARCA
393,SESQUILÉ,CUNDINAMARCA
394,SIBATÉ,CUNDINAMARCA
395,SILVANIA,CUNDINAMARCA
396,SIMIJACA,CUNDINAMARCA
397,SOACHA,CUNDINAMARCA
398,SOPÓ,CUNDINAMARCA
399,SUBACHOQUE,CUNDINAMARCA
400,SUESCA,CUNDINAMARCA
401,SUPATÁ,CUNDINAMARCA
402,SUSA,CUNDINAMARCA
403,SUTATAUSA,CUNDINAMARCA
404,TABIO,CUNDINAMARCA
405,TAUSA,CUNDINAMARCA
406,TENJO,CUNDINAMARCA
407,TIBACUY,CUNDINAMARCA
408,TOCAIMA,CUNDINAMARCA
409,TOCANCIPÁ,CUNDINAMARCA
410,UBALÁ,CUNDINAMARCA
411,ÚTICA,CUNDINAMARCA
412,VERGARA,CUNDINAMARCA
413,VIANÍ,CUNDINAMARCA
414,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA
415,VILLAPINZÓN,CUNDINAMARCA
416,VILLETA,CUNDINAMARCA
417,YACOPÍ,CUNDINAMARCA
418,ZIPACÓN,CUNDINAMARCA
419,ZIPAQUIRÁ,CUNDINAMARCA
420,BOGOTÁ,DISTRITO CAPITAL
421,BOGOTÁ ÁREA-1,DISTRITO CAPITAL
422,BOGOTÁ ÁREA-2,DISTRITO CAPITAL
423,BOGOTÁ ÁREA-4,DISTRITO CAPITAL
424,BOGOTÁ ÁREA-5,DISTRITO CAPITAL
425,BOGOTÁ ÁREA-6,DISTRITO CAPITAL
426,BOGOTÁ ÁREA-7,DISTRITO CAPITAL
427,INÍRIDA,GUAINÍA
428,CALAMAR,GUAVIARE
429,EL RETORNO,GUAVIARE
430,SAN JOSÉ DEL GUAVIARE,GUAVIARE
431,AGRADO,HUILA
432,AIPE,HUILA
433,ALGECIRAS,HUILA
434,ALTAMIRA,HUILA
435,BARAYA,HUILA
436,CAMPOALEGRE,HUILA
437,COLOMBIA,HUILA
438,GARZÓN,HUILA
439,GIGANTE,HUILA
440,GUADALUPE,HUILA
441,HOBO,HUILA
442,ÍQUIRA,HUILA
443,ISNOS,HUILA
444,LA ARGENTINA,HUILA
445,LA ARGENTINA (PLATAVIEJA),HUILA
446,LA PLATA,HUILA
447,NEIVA,HUILA
448,NEIVA ÁREA-1,HUILA
449,NEIVA ÁREA-2,HUILA
450,OPORAPA,HUILA
451,PAICOL,HUILA
452,PALERMO,HUILA
453,PALESTINA,HUILA
454,PITAL,HUILA
455,PITALITO,HUILA
456,RIVERA,HUILA
457,SAN AGUSTÍN,HUILA
458,SANTA MARÍA,HUILA
459,SUAZA,HUILA
460,TARQUI,HUILA
461,TERUEL,HUILA
462,TIMANÁ,HUILA
463,YAGUARÁ,HUILA
464,ALBANIA,LA GUAJIRA
465,BARRANCAS,LA GUAJIRA
466,DIBULLA,LA GUAJIRA
467,DISTRACCIÓN,LA GUAJIRA
468,FONSECA,LA GUAJIRA
469,HATONUEVO,LA GUAJIRA
470,MAICAO,LA GUAJIRA
471,RIOHACHA,LA GUAJIRA
472,SAN JUAN DEL CESAR,LA GUAJIRA
473,URIBIA (NAZARETH),LA GUAJIRA
474,VILLANUEVA,LA GUAJIRA
475,ALGARROBO,MAGDALENA
476,CIÉNAGA,MAGDALENA
477,EL BANCO,MAGDALENA
478,EL PIÑÓN,MAGDALENA
479,FUNDACIÓN,MAGDALENA
480,NUEVA GRANADA,MAGDALENA
481,PIJIÑO DEL CARMEN,MAGDALENA
482,SALAMINA,MAGDALENA
483,SANTA ANA,MAGDALENA
484,SANTA BÁRBARA DE PINTO,MAGDALENA
485,SANTA MARTA,MAGDALENA
486,SANTA MARTA ÁREA-1,MAGDALENA
487,SITIONUEVO,MAGDALENA
488,TENERIFE,MAGDALENA
489,ZONA BANANERA,MAGDALENA
490,ACACÍAS,META
491,CASTILLA LA NUEVA,META
492,CUMARAL,META
493,EL CALVARIO,META
494,EL CASTILLO,META
495,GRANADA,META
496,GUAMAL,META
497,LA URIBE,META
498,PUERTO GAITÁN,META
499,PUERTO LLERAS,META
500,PUERTO LÓPEZ,META
501,RESTREPO,META
502,SAN CARLOS DE GUAROA,META
503,SAN JUAN DE ARAMA,META
504,SAN LUIS DE CUBARRAL,META
505,SAN MARTÍN,META
506,VILLAVICENCIO,META
507,VILLAVICENCIO ÁREA-1,META
508,VILLAVICENCIO-ÁREA-2,META
509,VISTA HERMOSA,META
510,ALDANA,NARIÑO
511,ARBOLEDA (BERRUECOS),NARIÑO
512,BELÉN,NARIÑO
513,BUESACO,NARIÑO
514,CHACHAGÜÍ,NARIÑO
515,COLÓN (GÉNOVA),NARIÑO
516,CONSACÁ,NARIÑO
517,CÓRDOBA,NARIÑO
518,CUASPUD (CARLOSAMA),NARIÑO
519,CUMBAL,NARIÑO
520,CUMBITARA,NARIÑO
521,EL PEÑOL,NARIÑO
522,EL TABLÓN DE GÓMEZ,NARIÑO
523,EL TAMBO,NARIÑO
524,FRANCISCO PIZARRO (SALAHONDA),NARIÑO
525,FUNES,NARIÑO
526,GUACHUCAL,NARIÑO
527,GUAITARILLA,NARIÑO
528,GUALMATÁN,NARIÑO
529,ILES,NARIÑO
530,IMUÉS,NARIÑO
531,IPIALES,NARIÑO
532,LA CRUZ,NARIÑO
533,LA FLORIDA,NARIÑO
534,LA LLANADA,NARIÑO
535,LA UNIÓN,NARIÑO
536,LEIVA,NARIÑO
537,LINARES,NARIÑO
538,LOS ANDES (SOTOMAYOR),NARIÑO
539,MALLAMA (PIEDRANCHA),NARIÑO
540,MOSQUERA,NARIÑO
541,NARIÑO,NARIÑO
542,OLAYA HERRERA (BOCAS DE SATINGA),NARIÑO
543,POLICARPA,NARIÑO
544,POTOSÍ,NARIÑO
545,PUERRES,NARIÑO
546,PUPIALES,NARIÑO
547,RICAURTE,NARIÑO
548,SAMANIEGO,NARIÑO
549,SAN ANDRÉS DE TUMACO,NARIÑO
550,SAN JOSÉ DE ALBÁN,NARIÑO
551,SAN JUAN DE PASTO,NARIÑO
552,SAN JUAN DE PASTO ÁREA-1,NARIÑO
553,SAN JUAN DE PASTO ÁREA-2,NARIÑO
554,SAN LORENZO,NARIÑO
555,SAN PEDRO DE CARTAGO,NARIÑO
556,SANDONÁ,NARIÑO
557,SANTACRUZ (GUACHAVÉS),NARIÑO
558,SAPUYES,NARIÑO
559,TAMINANGO,NARIÑO
560,TANGUA,NARIÑO
561,TÚQUERRES,NARIÑO
562,ÁBREGO,NORTE DE SANTANDER
563,ARBOLEDAS,NORTE DE SANTANDER
564,CÁCHIRA,NORTE DE SANTANDER
565,CÁCOTA,NORTE DE SANTANDER
566,CHINÁCOTA,NORTE DE SANTANDER
567,CHITAGÁ,NORTE DE SANTANDER
568,CONVENCIÓN,NORTE DE SANTANDER
569,CÚCUTA,NORTE DE SANTANDER
570,CÚCUTA ÁREA-1,NORTE DE SANTANDER
571,EL CARMEN,NORTE DE SANTANDER
572,EL TARRA,NORTE DE SANTANDER
573,EL ZULIA,NORTE DE SANTANDER
574,HACARÍ,NORTE DE SANTANDER
575,LA ESPERANZA,NORTE DE SANTANDER
576,LABATECA,NORTE DE SANTANDER
577,LOS PATIOS,NORTE DE SANTANDER
578,MUTISCUA,NORTE DE SANTANDER
579,OCAÑA,NORTE DE SANTANDER
580,PAMPLONA,NORTE DE SANTANDER
581,PAMPLONITA,NORTE DE SANTANDER
582,PUERTO SANTANDER,NORTE DE SANTANDER
