Frequency(Hz);Return Loss(dB);Phase(deg);Rs;SWR;Xs;|Z|;Theta
2658189712;-13,23;19,37;74,9;1,56;11,4;75,7;8,6
2661161960;-11,95;1,71;83,8;1,68;1,4;83,8;0,9
2664134208;-10,88;-14,05;87,1;1,80;-13,2;88,1;-8,6
2667106456;-9,99;-28,11;83,1;1,93;-27,5;87,5;-18,3
2670078704;-9,21;-41,19;73,5;2,06;-38,1;82,8;-27,4
2673050952;-8,73;-53,16;62,3;2,15;-42,1;75,2;-34,1
2676023200;-8,35;-65,42;51,6;2,24;-42,0;66,5;-39,1
2678995448;-8,02;-76,89;43,1;2,32;-39,6;58,5;-42,6
2681967696;-7,93;-88,07;37,0;2,34;-35,4;51,2;-43,7
2684939944;-7,82;-98,80;32,4;2,37;-31,2;44,9;-43,9
2687912192;-7,94;-109,31;29,4;2,34;-26,5;39,6;-42,0
2690884440;-8,21;-119,96;27,6;2,27;-21,9;35,2;-38,4
2693856688;-8,65;-130,70;26,7;2,17;-17,3;31,8;-33,0
2696828936;-9,22;-141,63;26,5;2,06;-12,9;29,5;-26,0
2699801184;-9,98;-153,53;27,0;1,93;-8,5;28,3;-17,4
2702773432;-10,95;-166,37;28,2;1,79;-4,1;28,5;-8,3
2705745680;-12,15;178,58;30,2;1,66;0,4;30,2;0,7
2708717928;-13,52;161,00;33,1;1,53;4,8;33,4;8,2
2711690176;-14,90;139,30;37,1;1,44;9,0;38,1;13,6
2714662424;-16,08;112,37;42,6;1,37;12,7;44,5;16,6
2717634672;-16,34;83,41;49,4;1,36;15,3;51,7;17,2
2720606920;-15,63;54,54;58,2;1,40;16,1;60,4;15,5
2723579168;-14,40;30,25;68,2;1,47;13,6;69,5;11,3
2726551416;-13,12;10,20;77,5;1,57;6,4;77,7;4,7
2729523664;-11,78;-6,41;84,2;1,69;-5,2;84,4;-3,5
2732495912;-10,63;-20,72;85,1;1,83;-19,4;87,3;-12,8
2735468160;-9,63;-33,54;79,8;1,99;-32,7;86,2;-22,3
2738440408;-8,83;-44,95;70,2;2,13;-41,3;81,5;-30,5
2741412656;-8,17;-56,07;59,1;2,28;-45,2;74,4;-37,4
2744384904;-7,66;-66,68;49,1;2,41;-45,1;66,7;-42,6
2747357152;-7,38;-77,04;41,2;2,49;-42,0;58,9;-45,5
2750329400;-7,25;-87,17;35,4;2,53;-37,8;51,8;-46,9
2753301648;-7,29;-97,63;31,3;2,52;-32,9;45,4;-46,5
2756273896;-7,52;-108,16;28,6;2,45;-27,8;39,9;-44,2
2759246144;-7,89;-119,06;26,9;2,35;-22,7;35,2;-40,1
2762218392;-8,46;-130,52;26,3;2,21;-17,6;31,6;-33,8
2765190640;-9,29;-142,51;26,5;2,04;-12,6;29,4;-25,3
2768162888;-10,27;-154,96;27,5;1,88;-7,9;28,6;-16,0
2771135136;-11,51;-169,17;29,2;1,72;-3,1;29,3;-6,1
2774107384;-12,93;175,24;31,6;1,58;1,2;31,6;2,3
2777079632;-14,76;156,89;35,3;1,45;5,2;35,7;8,4
2780051880;-16,54;133,44;39,8;1,35;8,8;40,8;12,5
2783024128;-18,05;102,97;45,9;1,29;11,4;47,3;13,9
2785996376;-18,12;68,90;53,2;1,28;12,5;54,6;13,2
2788968624;-16,85;39,39;61,3;1,34;11,4;62,4;10,5
2791940872;-15,06;17,74;69,7;1,43;7,7;70,1;6,3
2794913120;-13,45;0,48;77,0;1,54;0,3;77,0;0,2
2797885368;-12,01;-12,98;81,6;1,67;-9,8;82,2;-6,9
2800857616;-10,97;-24,39;81,4;1,79;-20,7;84,0;-14,2
2803829864;-10,05;-34,63;77,5;1,92;-30,7;83,4;-21,6
2806802112;-9,34;-45,02;69,7;2,04;-38,1;79,4;-28,6
2809774360;-8,81;-54,04;61,5;2,14;-41,6;74,3;-34,0
2812746608;-8,42;-63,32;53,3;2,22;-42,2;68,0;-38,4
2815718856;-8,12;-72,40;46,1;2,29;-40,8;61,6;-41,5
2818691104;-7,95;-81,83;40,1;2,34;-37,9;55,2;-43,4
2821663352;-7,94;-91,41;35,5;2,34;-34,0;49,2;-43,7
2824635600;-8,03;-101,09;32,2;2,32;-29,7;43,8;-42,7
2827607848;-8,21;-111,28;29,6;2,27;-25,3;38,9;-40,5
2830580096;-8,56;-121,53;28,1;2,19;-20,8;35,0;-36,5
2833552344;-9,08;-132,55;27,4;2,09;-16,2;31,8;-30,6
2836524592;-9,72;-143,99;27,3;1,97;-11,7;29,7;-23,3
2839496840;-10,65;-156,50;28,1;1,83;-7,2;29,0;-14,4
2842469088;-11,87;-170,82;29,8;1,68;-2,6;29,9;-5,0
2845441336;-13,48;172,15;32,6;1,54;2,0;32,7;3,5
2848413584;-15,29;150,62;36,5;1,42;6,3;37,1;9,9
2851385832;-16,88;121,65;41,8;1,33;10,4;43,1;14,0
2854358080;-17,22;86,09;49,0;1,32;13,7;50,9;15,7
2857330328;-15,92;54,21;58,1;1,38;15,5;60,1;14,9
2860302576;-14,12;29,94;68,9;1,49;14,1;70,3;11,5
2863274824;-12,42;11,31;80,2;1,63;8,0;80,6;5,7
2866247072;-10,98;-4,69;89,0;1,79;-4,5;89,1;-2,9
2869219320;-9,83;-18,58;90,9;1,95;-20,9;93,3;-12,9
2872191568;-8,87;-30,62;85,4;2,13;-36,0;92,6;-22,9
2875163816;-8,20;-41,53;74,6;2,27;-45,3;87,3;-31,3
2878136064;-7,51;-52,71;61,7;2,46;-50,3;79,5;-39,2
2881108312;-7,09;-63,16;50,5;2,58;-49,5;70,8;-44,4
2884080560;-6,80;-72,95;42,0;2,68;-46,5;62,6;-47,9
2887052808;-6,60;-83,12;35,3;2,76;-41,9;54,8;-49,9
2890025056;-6,56;-92,83;30,7;2,77;-37,0;48,1;-50,3
2892997304;-6,74;-102,75;27,9;2,71;-31,7;42,2;-48,7
2895969552;-7,05;-112,88;26,0;2,60;-26,5;37,2;-45,5
2898941800;-7,59;-123,10;25,3;2,43;-21,5;33,2;-40,3
2901914048;-8,42;-134,30;25,6;2,22;-16,2;30,3;-32,4
2904886296;-9,53;-146,25;26,7;2,00;-11,1;28,9;-22,6
2907858544;-11,00;-159,50;28,6;1,79;-6,1;29,3;-12,1
2910830792;-12,89;-174,97;31,5;1,59;-1,3;31,6;-2,4
2913803040;-15,26;164,83;35,6;1,42;3,3;35,7;5,3
2916775288;-17,74;136,44;40,8;1,30;7,4;41,5;10,3
2919747536;-19,39;95,79;47,8;1,24;10,3;48,9;12,2
2922719784;-18,33;53,59;56,6;1,28;11,2;57,7;11,2
2925692032;-15,98;24,47;66,2;1,38;8,9;66,8;7,7
2928664280;-13,77;3,91;75,7;1,52;2,2;75,7;1,7
2931636528;-12,02;-10,94;82,1;1,67;-8,3;82,5;-5,8
2934608776;-10,65;-23,09;83,7;1,83;-21,1;86,3;-14,1
2937581024;-9,61;-33,52;79,8;1,99;-32,7;86,3;-22,3
2940553272;-8,90;-43,02;72,1;2,12;-40,6;82,8;-29,4
2943525520;-8,19;-54,60;60,6;2,28;-45,3;75,6;-36,8
2946497768;-7,89;-59,10;55,9;2,35;-46,2;72,6;-39,6
2949470016;-7,68;-67,11;48,8;2,41;-44,8;66,3;-42,6
2952442264;-7,53;-75,07;42,9;2,45;-42,3;60,2;-44,6
2955414512;-7,48;-82,80;38,3;2,46;-39,1;54,7;-45,6
2958386760;-7,51;-91,01;34,5;2,46;-35,3;49,4;-45,7
2961359008;-7,76;-99,34;32,0;2,38;-31,0;44,6;-44,1
2964331256;-8,08;-108,47;30,0;2,30;-26,6;40,1;-41,6
2967303504;-8,63;-117,98;29,1;2,18;-22,0;36,5;-37,2
2970275752;-9,33;-128,41;28,7;2,04;-17,4;33,5;-31,2
2973248000;-10,29;-139,05;29,1;1,88;-12,9;31,9;-23,9
2976220248;-11,56;-151,20;30,3;1,72;-8,3;31,5;-15,3
2979192496;-13,22;-164,48;32,4;1,56;-4,0;32,7;-7,0
2982164744;-15,51;177,30;35,6;1,40;0,6;35,7;0,9
2985136992;-18,42;151,45;40,2;1,27;4,7;40,5;6,6
2988109240;-20,62;111,41;46,0;1,21;8,1;46,7;9,9
2991081488;-19,64;64,06;53,8;1,23;10,2;54,7;10,7
2994053736;-16,72;31,95;63,2;1,34;10,0;64,0;9,0
2997025984;-14,11;13,13;73,4;1,49;6,8;73,7;5,3
2999998232;-12,09;-1,48;83,0;1,66;-1,1;83,0;-0,8
