id,operation,channels_id,geolocation_id
223,Nacional privado,14,5237
224,Nacional privado,15,5237
225,Nacional público,16,5237
226,Regional público,18,5237
227,Nacional privado futuro,19,5237
228,Nacional privado futuro,19,5240
229,Nacional público,16,5240
230,Regional público,18,5240
231,Nacional privado,14,5240
232,Nacional privado,15,5240
233,Nacional privado futuro,46,5250
234,Nacional privado,43,5250
235,Nacional privado,44,5250
236,Nacional público,16,5250
237,Regional público,18,5250
238,Nacional privado futuro,19,5264
239,Nacional público,16,5264
240,Regional público,18,5264
241,Nacional privado,14,5264
242,Nacional privado,15,5264
243,Local sin ánimo de lucro,33,5266
244,Nacional privado futuro,19,5266
245,Nacional privado,14,5266
246,Nacional privado,15,5266
247,Nacional público,16,5266
248,Regional público,18,5266
249,Local con ánimo de lucro,28,5266
250,Nacional privado futuro,19,5282
251,Nacional público,16,5282
252,Regional público,18,5282
253,Nacional privado,14,5282
254,Nacional privado,15,5282
255,Nacional privado futuro,19,5284
256,Nacional privado,14,5284
257,Nacional privado,15,5284
258,Nacional público,16,5284
259,Regional público,18,5284
260,Nacional privado futuro,19,5306
261,Nacional privado,14,5306
262,Nacional privado,15,5306
263,Nacional público,16,5306
264,Regional público,18,5306
265,Local sin ánimo de lucro,33,5308
266,Nacional privado futuro,19,5308
267,Nacional privado,14,5308
268,Nacional privado,15,5308
269,Nacional público,16,5308
270,Regional público,18,5308
271,Local con ánimo de lucro,28,5308
272,Nacional privado futuro,19,5310
273,Nacional público,16,5310
274,Regional público,18,5310
275,Nacional privado,21,5310
276,Nacional privado,42,5310
277,Nacional privado futuro,19,5313
278,Nacional público,16,5313
279,Regional público,18,5313
280,Nacional privado,14,5313
281,Nacional privado,15,5313
282,Nacional privado futuro,19,5315
283,Nacional privado,49,5315
284,Nacional privado,45,5315
285,Nacional público,16,5315
286,Regional público,18,5315
287,Nacional privado futuro,19,5318
288,Nacional privado,14,5318
289,Nacional privado,15,5318
290,Nacional público,16,5318
291,Regional público,18,5318
292,Nacional privado futuro,19,5321
293,Nacional privado,14,5321
294,Nacional privado,15,5321
295,Nacional público,16,5321
296,Regional público,18,5321
297,Nacional privado futuro,19,5347
298,Nacional público,16,5347
299,Regional público,18,5347
300,Nacional privado,14,5347
301,Nacional privado,15,5347
302,Nacional privado,14,5353
303,Nacional privado,15,5353
304,Nacional público,16,5353
305,Regional público,18,5353
306,Nacional privado futuro,19,5353
307,Local sin ánimo de lucro,33,5360
308,Nacional privado futuro,19,5360
309,Nacional privado,14,5360
310,Nacional privado,15,5360
311,Nacional público,16,5360
312,Regional público,18,5360
313,Local con ánimo de lucro,28,5360
314,Nacional privado futuro,19,5361
315,Nacional privado,14,5361
316,Nacional privado,15,5361
317,Nacional público,16,5361
318,Regional público,18,5361
319,Nacional privado futuro,19,5364
320,Nacional público,16,5364
321,Regional público,18,5364
322,Nacional privado,14,5364
323,Nacional privado,15,5364
324,Nacional privado futuro,19,5368
325,Nacional público,16,5368
326,Regional público,18,5368
327,Nacional privado,14,5368
328,Nacional privado,15,5368
329,Nacional privado futuro,19,5376
330,Nacional privado,14,5376
331,Nacional privado,15,5376
332,Nacional público,16,5376
333,Regional público,18,5376
334,Local sin ánimo de lucro,33,5380
335,Nacional privado futuro,19,5380
336,Nacional privado,14,5380
337,Nacional privado,15,5380
338,Nacional público,16,5380
339,Regional público,18,5380
340,Local con ánimo de lucro,28,5380
341,Nacional privado,14,5390
342,Nacional privado,15,5390
343,Nacional público,16,5390
344,Regional público,18,5390
345,Nacional privado futuro,19,5390
346,Nacional privado futuro,19,5400
347,Nacional privado,14,5400
348,Nacional privado,15,5400
349,Nacional público,16,5400
350,Regional público,18,5400
351,Nacional privado futuro,19,5411
352,Nacional público,16,5411
353,Regional público,18,5411
354,Nacional privado,14,5411
355,Nacional privado,15,5411
356,Nacional público,16,5425
357,Regional público,18,5425
358,Nacional privado,21,5425
359,Nacional privado,42,5425
360,Nacional privado futuro,19,5425
361,Nacional privado futuro,19,5440
362,Nacional privado,14,5440
363,Nacional privado,15,5440
364,Regional público,18,5440
365,Nacional público,16,5440
366,Nacional privado,14,5467
367,Nacional privado,15,5467
368,Nacional público,16,5467
369,Regional público,18,5467
370,Nacional privado futuro,19,5467
371,Nacional privado,21,5475
372,Nacional privado,24,5475
373,Nacional público,16,5475
374,Regional público,18,5475
375,Nacional privado futuro,19,5475
376,Nacional privado futuro,19,5480
377,Nacional público,16,5480
378,Regional público,18,5480
379,Nacional privado,21,5480
380,Nacional privado,24,5480
381,Nacional privado futuro,19,5483
382,Nacional privado,21,5483
383,Nacional privado,42,5483
384,Nacional público,16,5483
385,Regional público,18,5483
386,Nacional público,28,5490
387,Regional público,27,5490
388,Nacional privado futuro,27,5490
389,Nacional privado,21,5490
390,Nacional privado,24,5490
391,Nacional privado futuro,46,5495
392,Nacional privado,43,5495
393,Nacional privado,44,5495
394,Nacional público,16,5495
395,Regional público,18,5495
396,Nacional privado futuro,19,5501
397,Nacional privado,14,5501
398,Nacional privado,15,5501
399,Nacional público,16,5501
400,Regional público,18,5501
401,Nacional privado futuro,19,5541
402,Nacional privado,14,5541
403,Nacional privado,15,5541
404,Nacional público,16,5541
405,Regional público,18,5541
406,Nacional privado,14,5543
407,Nacional privado,15,5543
408,Nacional público,16,5543
409,Regional público,18,5543
410,Nacional privado futuro,19,5543
411,Nacional privado futuro,19,5576
412,Nacional privado,14,5576
413,Nacional privado,15,5576
414,Nacional público,16,5576
415,Regional público,18,5576
416,Regional público,18,5579
417,Nacional privado futuro,19,5579
418,Nacional privado,49,5579
419,Nacional privado,45,5579
420,Nacional público,16,5579
421,Regional público,18,5585
422,Nacional privado futuro,19,5585
423,Nacional privado,49,5585
424,Nacional privado,45,5585
425,Nacional público,16,5585
426,Nacional privado futuro,19,5591
427,Nacional privado,49,5591
428,Nacional privado,45,5591
429,Nacional público,16,5591
430,Regional público,18,5591
431,Nacional privado futuro,50,5604
432,Nacional privado,49,5604
433,Nacional privado,45,5604
434,Nacional público,16,5604
435,Regional público,18,5604
436,Nacional privado futuro,19,5607
437,Nacional público,16,5607
438,Regional público,18,5607
439,Nacional privado,14,5607
440,Nacional privado,15,5607
441,Nacional privado futuro,19,5615
442,Nacional privado,14,5615
443,Nacional privado,15,5615
444,Nacional público,16,5615
445,Regional público,18,5615
446,Local con ánimo de lucro,28,5615
447,Nacional privado futuro,19,5628
448,Nacional público,16,5628
449,Regional público,18,5628
450,Nacional privado,14,5628
451,Nacional privado,15,5628
452,Local sin ánimo de lucro,33,5631
453,Nacional privado futuro,19,5631
454,Nacional privado,14,5631
455,Nacional privado,15,5631
456,Nacional público,16,5631
457,Regional público,18,5631
458,Local con ánimo de lucro,28,5631
459,Nacional privado futuro,19,5642
460,Nacional privado,14,5642
461,Nacional privado,15,5642
462,Nacional público,16,5642
463,Regional público,18,5642
464,Nacional privado futuro,19,5647
465,Nacional público,16,5647
466,Regional público,18,5647
467,Nacional privado,14,5647
468,Nacional privado,15,5647
469,Nacional privado futuro,19,5649
470,Nacional privado,14,5649
471,Nacional privado,15,5649
472,Nacional público,16,5649
473,Regional público,18,5649
474,Nacional privado futuro,19,5652
475,Nacional privado,14,5652
476,Nacional privado,15,5652
477,Nacional público,16,5652
478,Regional público,18,5652
479,Nacional privado futuro,19,5656
480,Nacional privado,14,5656
481,Nacional privado,15,5656
482,Nacional público,16,5656
483,Regional público,18,5656
484,Nacional privado futuro,19,5658
485,Nacional público,16,5658
486,Regional público,18,5658
487,Nacional privado,14,5658
488,Nacional privado,15,5658
489,Nacional privado futuro,19,5659
490,Nacional privado,33,5659
491,Nacional privado,32,5659
492,Nacional público,16,5659
493,Regional público,18,5659
494,Nacional privado futuro,19,5660
495,Nacional público,16,5660
496,Regional público,18,5660
497,Nacional privado,21,5660
498,Nacional privado,42,5660
499,Nacional privado futuro,19,5664
500,Nacional privado,14,5664
501,Nacional privado,15,5664
502,Nacional público,16,5664
503,Regional público,18,5664
504,Nacional privado futuro,19,5665
505,Nacional privado,14,5665
506,Nacional privado,15,5665
507,Nacional público,16,5665
508,Regional público,18,5665
509,Nacional privado futuro,19,5667
510,Nacional privado,14,5667
511,Nacional privado,15,5667
512,Nacional público,16,5667
513,Regional público,18,5667
514,Nacional privado futuro,50,5670
515,Nacional privado,49,5670
516,Nacional privado,45,5670
517,Nacional público,16,5670
518,Regional público,18,5670
519,Nacional privado futuro,19,5674
520,Nacional privado,14,5674
521,Nacional privado,15,5674
522,Nacional público,16,5674
523,Regional público,18,5674
524,Nacional privado futuro,19,5679
525,Nacional público,38,5679
526,Regional público,18,5679
527,Nacional privado,41,5679
528,Nacional privado,42,5679
529,Nacional privado futuro,19,5686
530,Nacional privado,14,5686
531,Nacional privado,15,5686
532,Nacional público,16,5686
533,Regional público,18,5686
534,Nacional privado futuro,19,5690
535,Nacional privado,49,5690
536,Nacional privado,45,5690
537,Nacional público,16,5690
538,Regional público,18,5690
539,Nacional privado futuro,19,5697
540,Nacional privado,26,5697
541,Nacional privado,27,5697
542,Nacional público,16,5697
543,Regional público,18,5697
544,Nacional privado futuro,46,5736
545,Nacional privado,43,5736
546,Nacional privado,44,5736
547,Nacional público,16,5736
548,Regional público,18,5736
549,Nacional privado futuro,19,5756
550,Nacional privado,14,5756
551,Nacional privado,15,5756
552,Nacional público,16,5756
553,Regional público,18,5756
554,Nacional privado futuro,19,5761
555,Nacional privado,14,5761
556,Nacional privado,15,5761
557,Nacional público,16,5761
558,Regional público,18,5761
